census_tract,state_abbr,NAME,state,county,tract,B01003_001E,B19013_001E,B25077_001E,B02001_001E,B02001_002E,B02001_003E,B03003_001E,B03003_003E
25001010100,MA,Census Tract 101; Barnstable County; Massachusetts,25,001,010100,3630,91447,772200,3630,2932,27,3630,419
25001010206,MA,Census Tract 102.06; Barnstable County; Massachusetts,25,001,010206,4352,97396,683300,4352,3793,11,4352,53
25001010208,MA,Census Tract 102.08; Barnstable County; Massachusetts,25,001,010208,1627,89243,701300,1627,1626,0,1627,1
25001010304,MA,Census Tract 103.04; Barnstable County; Massachusetts,25,001,010304,2739,68633,646900,2739,2507,0,2739,10
25001010306,MA,Census Tract 103.06; Barnstable County; Massachusetts,25,001,010306,2985,81078,609100,2985,2605,223,2985,0
25001010400,MA,Census Tract 104; Barnstable County; Massachusetts,25,001,010400,3342,78232,576100,3342,3198,10,3342,71
25001010500,MA,Census Tract 105; Barnstable County; Massachusetts,25,001,010500,2980,99403,892500,2980,2956,3,2980,29
25001010600,MA,Census Tract 106; Barnstable County; Massachusetts,25,001,010600,3247,75417,787300,3247,3124,31,3247,29
25001010700,MA,Census Tract 107; Barnstable County; Massachusetts,25,001,010700,3360,108984,798300,3360,2989,14,3360,72
25001010800,MA,Census Tract 108; Barnstable County; Massachusetts,25,001,010800,4987,95949,628500,4987,4823,21,4987,53
25001010900,MA,Census Tract 109; Barnstable County; Massachusetts,25,001,010900,5354,95784,553500,5354,5002,69,5354,228
25001011002,MA,Census Tract 110.02; Barnstable County; Massachusetts,25,001,011002,4220,82391,540500,4220,3532,46,4220,185
25001011100,MA,Census Tract 111; Barnstable County; Massachusetts,25,001,011100,5285,91801,591200,5285,5265,6,5285,0
25001011200,MA,Census Tract 112; Barnstable County; Massachusetts,25,001,011200,3935,68977,539700,3935,3737,73,3935,64
25001011300,MA,Census Tract 113; Barnstable County; Massachusetts,25,001,011300,2439,108889,702200,2439,2321,0,2439,7
25001011400,MA,Census Tract 114; Barnstable County; Massachusetts,25,001,011400,3575,85679,612100,3575,3442,27,3575,9
25001011500,MA,Census Tract 115; Barnstable County; Massachusetts,25,001,011500,4054,87574,401400,4054,3129,192,4054,655
25001011600,MA,Census Tract 116; Barnstable County; Massachusetts,25,001,011600,2649,51203,415600,2649,2370,146,2649,22
25001011700,MA,Census Tract 117; Barnstable County; Massachusetts,25,001,011700,2025,79219,562000,2025,1997,0,2025,0
25001011801,MA,Census Tract 118.01; Barnstable County; Massachusetts,25,001,011801,2333,103873,565600,2333,2219,2,2333,63
25001011802,MA,Census Tract 118.02; Barnstable County; Massachusetts,25,001,011802,4674,104620,458600,4674,4507,9,4674,109
25001012001,MA,Census Tract 120.01; Barnstable County; Massachusetts,25,001,012001,6050,76537,431400,6050,5066,71,6050,257
25001012002,MA,Census Tract 120.02; Barnstable County; Massachusetts,25,001,012002,2714,68895,538000,2714,2373,68,2714,58
25001012101,MA,Census Tract 121.01; Barnstable County; Massachusetts,25,001,012101,6006,79712,353200,6006,3822,1099,6006,162
25001012102,MA,Census Tract 121.02; Barnstable County; Massachusetts,25,001,012102,3240,55321,537000,3240,2801,51,3240,64
25001012200,MA,Census Tract 122; Barnstable County; Massachusetts,25,001,012200,4832,120750,631700,4832,4666,3,4832,94
25001012502,MA,Census Tract 125.02; Barnstable County; Massachusetts,25,001,012502,3458,57578,445100,3458,2026,1086,3458,85
